,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages
,#,Name,Team,Pitches,Balls,Strikes,IP,G,GS,K/9,BB/9,HR/9
1,2,Randy Johnson,ARI,3993,1373,2620,260.0,35,35,11.56,2.46,0.90
2,3,Derek Lowe,BOS,3076,1113,1963,219.2,32,32,5.20,1.97,0.49
3,4,Greg Maddux,ATL,2679,883,1796,199.1,34,34,5.33,2.03,0.63
4,5,Barry Zito,OAK,3702,1340,2362,229.1,35,35,7.14,3.06,0.94
5,6,Tim Wakefield,BOS,2453,836,1617,163.1,45,15,7.38,2.81,0.83
6,7,Bartolo Colon,- - -,3553,1256,2297,233.1,33,33,5.75,2.70,0.77
7,8,Roy Halladay,TOR,3509,1186,2323,239.1,34,34,6.32,2.33,0.38
8,9,Tom Glavine,ATL,3597,1443,2154,224.2,36,36,5.09,3.12,0.84
9,10,Tim Hudson,OAK,3455,1257,2198,238.1,34,34,5.74,2.34,0.72
10,11,Odalis Perez,LAD,3027,989,2038,222.1,32,32,6.27,1.54,0.85
11,12,Roy Oswalt,HOU,3428,1057,2371,233.0,35,34,8.03,2.39,0.66
12,13,Elmer Dessens,CIN,2700,1028,1672,178.0,30,30,4.70,2.48,1.21
13,14,Jarrod Washburn,ANA,3350,1230,2120,206.0,32,32,6.07,2.58,0.83
14,15,Tomo Ohka,MON,2863,982,1881,192.2,32,31,5.51,2.10,0.89
15,16,Randy Wolf,PHI,3207,1124,2083,210.2,31,31,7.35,2.69,0.98
16,17,Kirk Rueter,SFG,3269,1351,1918,203.2,33,33,3.36,2.39,0.97
17,18,Curt Schilling,ARI,3722,1092,2630,259.1,36,35,10.97,1.15,1.01
18,19,Kevin Millwood,ATL,3338,1161,2177,217.0,35,34,7.38,2.70,0.66
19,20,Joel Pineiro,SEA,3095,1121,1974,194.1,37,28,6.30,2.50,1.11
20,21,Vicente Padilla,PHI,3042,1048,1994,206.0,32,32,5.59,2.32,0.70
21,22,Wade Miller,HOU,2571,947,1624,164.2,26,26,7.87,3.39,0.77
22,23,A.J. Burnett,FLA,3265,1271,1994,204.1,31,29,8.94,3.96,0.53
23,24,Jamie Moyer,SEA,3447,1263,2184,230.2,34,34,5.74,1.95,1.09
24,25,Steve Trachsel,NYM,2853,1078,1775,173.2,30,30,5.44,3.58,0.83
25,26,Hideo Nomo,LAD,3468,1329,2139,220.1,34,34,7.88,4.13,1.06
