Year,Pitch Type,#,# RHB,# LHB,%,MPH,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Ext.,Whiff%,PutAway%
2008,4-Seam Fastball,612,357,255,68.5,95.2,139,123,31,26,4,0,1,35,89,0.252,,0.309,,0.297,,,,,,25.3,21.5
2008,Slider,151,97,54,16.9,85.2,45,42,6,4,1,0,1,16,27,0.143,,0.238,,0.19,,,,,,45.7,32
2008,Changeup,95,47,48,10.6,85.5,30,27,7,5,0,0,2,11,17,0.259,,0.481,,0.333,,,,,,29.8,29.7
2008,Sinker,35,14,21,3.9,94.9,14,8,2,2,0,0,0,1,9,0.25,,0.25,,0.356,,,,,,6.7,9.1
2009,4-Seam Fastball,"2,105",915,1190,70.9,94.3,485,416,102,59,26,4,13,124,300,0.245,,0.421,,0.336,,,,,,22,17.5
2009,Changeup,481,137,344,16.2,84.9,136,132,32,20,7,2,3,28,104,0.242,,0.394,,0.285,,,,,,26.4,16.6
2009,Slider,376,255,121,12.7,85.5,89,83,23,14,7,0,2,14,71,0.277,,0.434,,0.318,,,,,,26.7,14.3
2009,Sinker,5,3,2,0.2,95.8,1,1,1,1,0,0,0,0,1,1,,1,,0.895,,,,,,50,0
2010,4-Seam Fastball,"2,065",946,1119,62.9,93.7,453,392,98,66,16,3,13,98,298,0.25,,0.406,,0.336,,,,,,16.6,15.9
2010,Changeup,662,194,468,20.2,84.1,223,204,51,39,5,3,4,57,151,0.25,,0.363,,0.293,,,,,,26.2,20.9
2010,Slider,487,397,90,14.8,84.7,109,103,19,13,5,0,1,27,78,0.184,,0.262,,0.212,,,,,,41.1,20
2010,Sinker,38,16,22,1.2,93.6,4,4,2,1,0,0,1,0,4,0.5,,1.25,,0.742,,,,,,9.1,0
2010,Cutter,21,13,8,0.6,92.8,4,4,2,1,0,0,1,1,3,0.5,,1.25,,0.742,,,,,,28.6,16.7
2010,Curveball,10,7,3,0.3,82.5,3,3,1,0,1,0,0,1,2,0.333,,0.667,,0.423,,,,,,33.3,100
2011,4-Seam Fastball,"1,908",811,1097,57.2,93.7,441,389,114,67,25,4,18,98,299,0.293,,0.517,,0.378,,,,,,18,18.2
2011,Changeup,687,139,548,20.6,83,210,200,48,31,8,3,6,38,162,0.24,,0.4,,0.296,,,,,,25.6,15.4
2011,Slider,600,500,100,18,83.2,154,149,38,30,5,0,3,36,115,0.255,,0.349,,0.271,,,,,,37.3,17
2011,Sinker,136,49,87,4.1,93.7,24,22,7,5,0,0,2,2,20,0.318,,0.591,,0.417,,,,,,10.2,8
2011,Cutter,7,2,5,0.2,91.1,2,0,0,0,0,0,0,0,0,,,,,0.694,,,,,,0,0
2012,4-Seam Fastball,"1,806",703,1103,55.4,94.9,416,374,93,56,19,3,15,131,246,0.249,,0.436,,0.329,,,,,,23.9,21.7
2012,Slider,653,499,154,20,86.5,158,152,33,21,6,0,6,58,94,0.217,,0.375,,0.27,,,,,,42.9,24.6
2012,Changeup,607,112,495,18.6,86,179,163,45,35,7,2,1,38,126,0.276,,0.362,,0.311,,,,,,27.4,17.6
2012,Sinker,172,82,90,5.3,94.6,27,23,7,4,1,1,1,4,20,0.304,,0.565,,0.406,,,,,,21.5,10.8
2012,Curveball,17,3,14,0.5,78.7,3,3,0,0,0,0,0,0,3,0,,0,,0,,,,,,0,0
2012,Cutter,7,6,1,0.2,92.8,,,,,,,,,,,,,,,,,,,,0,
2013,4-Seam Fastball,"1,899",718,1181,56.1,93.9,435,392,80,46,16,5,13,116,283,0.204,,0.37,,0.281,,,,,,22.4,21.5
2013,Changeup,682,88,594,20.1,85.2,211,194,46,28,16,0,2,59,138,0.237,,0.351,,0.28,,,,,,29.3,22.5
