pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,7/16/22,84.4,-3.35,5.28,"Scherzer, Max",623520,453286,single,hit_into_play,,,,,9,David Bote singles on a sharp line drive to left fielder Mark Canha.,R,R,R,CHC,NYM,X,7,line_drive,2,1,2022,0.16,0.17,0.38,1.64,,,,1,7,Bot,72.54,107.14,,,621512,,,8.348185412,-122.7977252,-2.474600889,0.039206956,22.64886705,-30.20148049,3.35,1.52,167,105.4,9,84.5,2356,6.2,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.28,0.763,0.748,0.9,1,1,0,4,58,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,139,0.041,0.245
SL,7/16/22,84.2,-3.28,5.38,"Scherzer, Max",623520,453286,,called_strike,,,,,4,David Bote singles on a sharp line drive to left fielder Mark Canha.,R,R,R,CHC,NYM,S,,,2,0,2022,0.11,0.13,-0.78,2.27,,,,1,7,Bot,,,,,621512,,,5.598506021,-122.490258,-1.081059022,-0.02460008,24.32282559,-30.91341497,3.29,1.56,,,,84.1,2324,6.2,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.26,,,,,,,,58,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,117,0,-0.045
FF,7/16/22,93.2,-3.25,5.44,"Scherzer, Max",623520,453286,,ball,,,,,14,David Bote singles on a sharp line drive to left fielder Mark Canha.,R,R,R,CHC,NYM,B,,,1,0,2022,-1.01,1.41,1.66,2.23,,,,1,7,Bot,,,,,621512,,,14.74837438,-134.9339043,-5.576835962,-15.3562514,27.1725362,-13.71505939,3.29,1.56,,,,93,2475,6.3,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.24,,,,,,,,58,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,225,0,0.045
CU,7/16/22,71.1,-3.15,5.53,"Scherzer, Max",623520,453286,,ball,,,,,13,David Bote singles on a sharp line drive to left fielder Mark Canha.,R,R,R,CHC,NYM,B,,,0,0,2022,1.25,-0.74,-1.39,2.31,,,,1,7,Bot,,,,,621512,,,1.366677923,-103.5101456,2.524086369,8.706709378,18.35216459,-38.13191117,3.23,1.56,,,,71.1,2743,6.4,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.09,,,,,,,,58,1,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,62,0,0.023
FF,7/16/22,92.5,-3.28,5.44,"Scherzer, Max",543228,453286,field_out,hit_into_play,,,,,11,Yan Gomes pops out to first baseman Pete Alonso.,R,R,R,CHC,NYM,X,3,popup,1,0,2022,-1.09,1.33,-1.23,2.66,,,,0,7,Bot,166.32,146.14,,,621512,,,7.593156312,-134.4646316,-4.170790667,-14.88816127,29.06216027,-15.31517999,3.2,1.46,170,60.5,40,92.4,2368,6.3,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.19,0.317,0.285,0,1,0,0,3,57,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,221,-0.038,-0.256
FF,7/16/22,92.7,-3.13,5.6,"Scherzer, Max",543228,453286,,ball,,,,,12,Yan Gomes pops out to first baseman Pete Alonso.,R,R,R,CHC,NYM,B,,,0,0,2022,-0.84,1.29,1.67,2.92,,,,0,7,Bot,,,,,621512,,,14.01115494,-134.3688515,-3.8783633,-13.00574921,26.174683,-15.75971578,3.09,1.5,,,,92.5,2404,6.2,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.33,,,,,,,,57,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,222,0,0.034
SL,7/16/22,86.9,-3.23,5.25,"Scherzer, Max",663845,453286,strikeout,swinging_strike,,,,,14,Alfonso Rivas strikes out swinging.,R,L,R,CHC,NYM,S,2,,1,2,2022,0.37,0.28,0.56,1.23,,,,2,6,Bot,,,,,621512,,,8.355211397,-126.3352735,-4.049907948,2.30571599,24.58007315,-28.52564909,3.23,1.5,,,,87.3,2374,6.5,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,53.98,,,0,1,0,0,,52,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,165,-0.017,-0.072
FF,7/16/22,93.8,-3.2,5.49,"Scherzer, Max",663845,453286,,swinging_strike,,,,,1,Alfonso Rivas strikes out swinging.,R,L,R,CHC,NYM,S,,,1,1,2022,-0.86,1.38,-0.57,2.73,,,,2,6,Bot,,,,,621512,,,8.666361323,-136.2938407,-4.457111096,-12.57923017,29.92050823,-14.10825377,3.23,1.5,,,,93.6,2361,6.3,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.24,,,,,,,,52,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,227,0,-0.022
CU,7/16/22,74.9,-3.18,5.48,"Scherzer, Max",663845,453286,,called_strike,,,,,7,Alfonso Rivas strikes out swinging.,R,L,R,CHC,NYM,S,,,1,0,2022,1.4,-0.84,-0.47,1.97,,,,2,6,Bot,,,,,621512,,,3.123604845,-109.0606963,1.415342719,10.56698013,19.69830332,-39.34270485,3.14,1.45,,,,74.9,2848,6.3,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.17,,,,,,,,52,2,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,55,0,-0.021
FF,7/16/22,94.5,-3.15,5.65,"Scherzer, Max",663845,453286,,ball,,,,,11,Alfonso Rivas strikes out swinging.,R,L,R,CHC,NYM,B,,,0,0,2022,-1.11,1.3,-0.32,3.74,,,,2,6,Bot,,,,,621512,,,9.781315367,-137.2336307,-2.154395832,-16.20067432,31.19558687,-15.44811886,3.2,1.5,,,,94,2353,6.1,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.35,,,,,,,,52,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,225,0,0.016
SL,7/16/22,85.6,-3.32,5.43,"Scherzer, Max",621550,453286,field_out,hit_into_play,,,,,6,Patrick Wisdom pops out to shortstop Francisco Lindor.,R,R,R,CHC,NYM,X,6,popup,0,2,2022,0.31,0.47,0.53,2.18,,,,1,6,Bot,133.19,167.85,,,621512,,,8.455142203,-124.4764889,-2.349393744,1.583483803,24.38545647,-27.02723962,3.38,1.59,98,69.7,67,85.5,2224,6.2,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,54.27,0.003,0.003,0,1,0,0,3,51,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,182,-0.024,-0.103
FF,7/16/22,94.7,-3.38,5.1,"Scherzer, Max",621550,453286,,foul,,,,,11,Patrick Wisdom pops out to shortstop Francisco Lindor.,R,R,R,CHC,NYM,S,,,0,2,2022,-0.9,1.12,-1.08,2.89,,,,1,6,Bot,,,,,621512,,,8.044237039,-137.7452066,-2.609588149,-13.25003584,30.21281681,-17.57513939,3.38,1.59,,,,95.1,2435,6.5,661115,453286,621512,624413,643446,500871,596019,592192,607043,516782,53.99,,,,,,,,51,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,226,0,0
