Date,4-Seam Cum,Changeup Cum,Curveball Cum,Cutter Cum,Intentional Ball Cum,Pitch Out Cum,Sinker Cum,Slider Cum,Total Cum
4/29/08,3898.059755,294.7958624,0,0,0,0,449.5651907,463.0037407,5105.424549
5/5/08,9515.489808,1272.586493,0,0,0,0,2238.096107,1603.883425,14630.05583
5/10/08,15444.85622,2121.196297,0,0,0,106.5259265,2238.096107,2877.153995,22787.82855
5/17/08,23702.96147,3079.234942,0,0,0,106.5259265,3025.543122,4042.603206,33956.86866
5/23/08,24614.65725,3079.234942,0,0,0,106.5259265,3025.543122,4042.603206,34868.56444
5/26/08,27114.58887,3361.609798,0,0,0,106.5259265,3025.543122,4529.228995,38137.49671
5/30/08,30604.89098,3652.227439,0,0,0,106.5259265,3467.609864,5286.427046,43117.68126
6/3/08,31823.54369,3749.273418,0,0,0,106.5259265,3467.609864,5864.381012,45011.33391
6/8/08,35336.25034,4301.737934,0,0,0,106.5259265,3467.609864,6524.359691,49736.48375
6/11/08,37095.63575,4667.39289,0,0,0,212.5233211,3467.609864,6992.337279,52435.4991
8/29/08,38369.25294,4764.438869,0,0,0,212.5233211,3467.609864,7088.170468,53901.99546
8/31/08,40887.26458,4960.620016,0,0,0,212.5233211,3467.609864,7676.720578,57204.73836
9/7/08,48175.9459,6022.467926,0,0,0,212.5233211,3467.609864,9432.432513,67310.97953
9/14/08,55062.93227,7059.067531,0,0,312.8686669,212.5233211,3467.609864,11661.39358,77776.39523
9/19/08,62732.88328,8419.489161,0,0,312.8686669,212.5233211,3467.609864,12628.29235,87773.66664
9/24/08,68957.29006,9095.001673,0,0,312.8686669,316.4070979,3926.689915,14358.74995,96967.00737
4/14/09,75587.08135,10235.17964,0,0,312.8686669,316.4070979,3926.689915,15201.96793,105580.1946
4/19/09,84997.45987,10900.6727,0,0,312.8686669,316.4070979,3926.689915,16431.86133,116885.9596
4/25/09,93762.89373,11851.07665,0,0,312.8686669,316.4070979,3926.689915,17272.87015,127442.8062
4/30/09,102561.1261,13192.82467,0,0,312.8686669,316.4070979,4039.616698,18334.21994,138757.0632
5/5/09,110309.4523,14369.92075,0,0,384.0540047,316.4070979,4039.616698,19801.61863,149221.0695
5/10/09,119653.8706,15785.35324,0,0,384.0540047,316.4070979,4039.616698,20461.59947,160640.9011
5/16/09,127539.7426,17298.55804,0,0,384.0540047,316.4070979,4039.616698,21436.97795,171015.3564
5/21/09,136602.3195,19099.75945,0,0,384.0540047,316.4070979,4039.616698,22194.70361,182636.8604
5/26/09,144098.4572,20631.94519,0,0,384.0540047,316.4070979,4039.616698,23966.81371,193437.2939
5/31/09,151152.8925,21857.44994,0,0,384.0540047,316.4070979,4039.616698,24816.05697,202566.4772
6/6/09,160381.3923,23237.37189,0,0,384.0540047,316.4070979,4039.616698,25707.26559,214066.1076
6/11/09,169685.1273,24641.51696,0,0,384.0540047,316.4070979,4039.616698,27207.0323,226273.7544
6/17/09,177365.3495,26372.62572,0,0,384.0540047,316.4070979,4495.995038,29028.87146,237963.3028
6/23/09,186775.6245,28362.75659,0,0,384.0540047,316.4070979,4495.995038,30381.32833,250716.1655
6/28/09,193441.5919,30281.85311,0,0,384.0540047,316.4070979,4495.995038,30939.82711,259859.7282
7/3/09,201214.8572,32467.15951,0,0,384.0540047,316.4070979,4495.995038,31806.90937,270685.3823
7/8/09,209376.7951,35094.38135,0,0,384.0540047,316.4070979,4495.995038,32383.66492,282051.2975
